Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
1	30	6	0.00091836	0.004615211	1.32E-03	2.62E+05	1.10E+05	31781.15882	2065957.541	796201.2928	328709.462
2	36	12	0.000860965	0.004314183	2.05E-03	1.34E+05	3.53E+04	11038.2487	770311.2943	366665.8359	198088.2839
3	30	9	0.000764661	0.004188583	2.81E-03	1.28E+05	3.81E+04	14349.28588	625708.238	326089.1343	204276.3169
4	3.60E+01	6	0.000990285	0.003047486	1.33E-03	1.14E+05	4.79E+04	15566.9823	756821.9707	331502.183	159129.9037
5	30	6	0.000603246	0.003811053	3.82E-03	1.19E+05	4.30E+04	17543.95008	462825.2451	250563.5771	170808.4597
6	30	12	0.000704269	0.001392432	2.57E-03	4.23E+03	1.52E+03	1524.664423	20781.84135	14835.53681	26091.1725
7	36	6	0.00059871	0.001979981	2.62E-03	3.40E+04	1.22E+04	5919.684583	116901.7761	68331.4124	57217.82261
8	30	9	0.000822805	0.004720684	2.92E-03	1.67E+05	4.93E+04	17295.5783	851108.131	426445.1732	247179.0676
9	2.40E+01	6	0.000756607	0.005164727	3.51E-03	2.49E+05	8.84E+04	33212.90594	998566.8666	518432.579	322990.6051
10	30	6	0.00073484	0.001644503	3.29E-03	1.66E+04	5.75E+03	4015.735906	46216.26366	30056.64799	37404.73588
11	24	6	0.00074366	0.002305171	1.55E-03	6.60E+04	2.26E+04	11135.07034	211052.9866	124002.6797	106154.6857
12	3.60E+01	9	0.000752345	0.00480179	1.49E-03	2.58E+05	7.58E+04	19631.51973	1840096.321	699500.1609	287135.9363
13	3.00E+01	12	0.000763778	0.001858011	1.54E-03	1.56E+04	4.93E+03	3059.593772	78531.45966	49765.1265	54789.36415
14	3.00E+01	12	0.000616494	0.001508643	1.02E-03	1.25E+04	3.97E+03	2476.470137	63283.52088	40137.45087	44334.67446
15	30	6	0.000592741	0.003826118	3.78E-03	1.20E+05	4.38E+04	17736.06154	473106.1624	255363.1383	172817.7174
16	36	12	0.000931578	0.005549081	1.51E-03	3.01E+05	7.19E+04	17581.0119	2005629.277	759885.8615	316259.3794
17	36	9	0.000768026	0.003670655	1.93E-03	1.26E+05	3.77E+04	12203.77396	693426.9443	329354.4874	175096.3461
18	30	12	0.000966201	0.00361346	3.41E-03	4.90E+04	1.47E+04	7236.752301	252725.1345	149421.5552	130285.8166
19	24	12	0.000879054	0.002421346	3.66E-03	1.30E+04	4.49E+03	3853.038315	64204.45582	44433.93118	67183.62623
20	24	6	0.000882272	0.00523794	2.86E-03	2.87E+05	1.03E+05	36291.77348	1265054.027	628496.4721	357036.9974
21	30	12	0.000861236	0.004184336	2.67E-03	9.16E+04	2.58E+04	10195.69579	487854.2361	264633.6647	183300.9832
22	36	9	0.000650724	0.001770751	3.75E-03	1.08E+04	3.57E+03	2558.581875	42611.00059	27771.89882	34859.86613
23	3.60E+01	6	0.000816731	0.003640042	3.27E-03	1.10E+05	4.33E+04	15789.93966	551934.7176	276692.0306	159389.7984
24	36	6	0.000895734	0.002067665	1.37E-03	5.52E+04	2.11E+04	8303.432677	246943.268	129285.9478	82345.512
25	3.00E+01	6	0.000708865	0.004456844	3.76E-03	1.66E+05	6.22E+04	23014.47984	742184.4306	380551.5575	228009.343
26	36	12	0.000942226	0.003084111	1.75E-03	6.32E+04	1.77E+04	6664.012163	343260.5558	182027.3867	119918.2661
27	36	12	0.000919245	0.001223956	3.18E-03	2.78E+03	1.00E+03	1055.914941	13644.5433	9812.554607	18114.50447
