Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
1	36	9	0.000987223	0.003154812	2.26E-03	1.19E+04	1.73E+03	225.7019673	60843.27645	18956.50481	6052.847032
2	36	12	0.000792923	0.00375764	1.40E-03	2.62E+04	3.88E+03	512.4507708	155747.5904	47979.1387	14523.14477
3	24	6	0.000572376	0.005812986	2.25E-03	6.49E+04	6.90E+03	609.8301801	242564.9368	49755.48732	10865.0857
4	3.60E+01	9	0.000790687	0.001755779	1.83E-03	4.00E+03	7.49E+02	125.5042076	20485.76131	8390.137664	3322.46764
5	30	6	0.00054098	0.002438013	1.38E-03	8.20E+03	9.45E+02	99.28132344	32432.71009	7988.705321	2135.85047
6	30	6	0.000896857	0.001904325	3.05E-03	3.82E+03	6.62E+02	96.71879739	15167.57477	5769.864404	2087.021935
7	24	12	0.000528118	0.001329504	2.37E-03	1.74E+03	7.78E+02	617.6169468	8928.511256	7365.877719	11402.95635
8	30	9	0.000994066	0.003212012	2.82E-03	1.29E+04	2.51E+03	456.7757144	60014.35878	25071.51016	10596.79338
9	2.40E+01	9	0.000948144	0.002572757	3.14E-03	8.59E+03	2.55E+03	876.4765199	36187.48173	22062.76285	16577.91253
10	36	6	0.000732588	0.001594022	2.77E-03	1.95E+03	2.86E+02	35.1297605	8827.055645	2822.738237	831.9782803
11	36	12	0.000991416	0.003379013	2.06E-03	1.56E+04	2.84E+03	483.4525266	92875.28274	35662.71306	13734.17829
12	2.40E+01	6	0.000943525	0.004323517	2.05E-03	3.78E+04	4.97E+03	560.8365386	132260.5671	35722.02919	10071.00118
13	3.00E+01	12	0.000838754	0.005915267	1.12E-03	1.22E+05	1.64E+04	1844.893071	704646.9872	183250.3077	45377.14821
14	3.00E+01	6	0.000611595	0.001152421	2.75E-03	1.23E+03	2.58E+02	48.08909059	4871.830992	2267.017541	1014.794639
15	36	12	0.000954036	0.003208346	2.65E-03	1.09E+04	2.20E+03	426.4994249	64874.39136	27721.11549	12067.00411
16	24	12	0.000644241	0.003156272	2.84E-03	1.28E+04	4.28E+03	1989.918235	70890.32551	45537.75886	40164.76387
17	30	12	0.000521528	0.004707741	3.31E-03	2.71E+04	5.86E+03	1257.010103	159686.878	69761.6039	30489.11091
18	36	12	0.00072569	0.001308922	2.46E-03	1.66E+03	4.82E+02	159.0695257	9666.068732	5896.911404	4354.250447
19	36	12	0.000736323	0.002173767	2.91E-03	3.65E+03	9.34E+02	253.2031052	21484.62097	11596.69355	6996.100381
20	30	12	0.000990403	0.003322292	2.85E-03	1.33E+04	3.37E+03	937.5932392	74752.12473	38997.11274	22872.86063
21	24	9	0.000976186	0.004024877	2.82E-03	2.76E+04	6.37E+03	1480.618662	119054.8401	56648.09698	28398.23089
22	24	9	0.000629554	0.005373968	2.33E-03	6.67E+04	1.22E+04	1962.850759	305016.8743	110621.8865	37667.82802
23	3.60E+01	12	0.000947279	0.005680118	2.02E-03	5.50E+04	6.88E+03	756.5609201	326965.2839	83764.70443	21488.45401
24	36	12	0.000532291	0.002020911	1.42E-03	5.07E+03	1.11E+03	240.6402078	29993.09613	13930.3983	6664.701511
