sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
1	2	0.004113993	0.003093763	2.46E-07	9.86E-07	1.32E-05	0.00E+00	0.000294119	80.33937269	0.237350268	242.0502612	3.25E-04
2	2	0.006828668	0.002970751	2.30E-07	6.57E-07	1.84E-05	0.00E+00	0.000283147	19.98121903	0.166623349	141.3585053	6.31E-05
3	2	0.006168829	0.003918985	2.16E-07	6.14E-07	2.70E-05	0.00E+00	0.000286799	16.65832622	0.17167957	140.4741589	1.08E-04
4	2	0.005714941	0.00351548	2.24E-07	7.57E-07	2.31E-05	0.00E+00	0.000134237	36.34359553	0.463852416	339.0664823	0.000175738
5	2	0.005824184	0.002063666	1.78E-07	6.18E-07	1.19E-05	0.00E+00	0.000264692	29.5375783	0.140138837	148.8231208	3.46E-04
6	2	0.005779314	0.002634199	2.45E-07	6.14E-07	1.88E-05	0.00E+00	0.000176312	29.76614381	0.223917235	196.0438931	7.31E-05
7	2	0.006062067	0.0035904	1.69E-07	7.96E-07	1.89E-05	0.00E+00	0.000229263	28.28507303	0.318292925	244.6667264	9.31E-05
8	2	0.005837459	0.003509373	1.78E-07	8.72E-07	2.31E-05	0.00E+00	0.000132522	39.17503117	0.63868265	449.4830002	2.34E-04
9	2	0.003475991	0.002996728	2.46E-07	7.36E-07	2.17E-05	0.00E+00	0.000144762	77.60960919	0.333411431	340.6897856	1.67E-03
10	2	0.006005068	0.00251019	2.01E-07	8.80E-07	2.78E-05	0.00E+00	0.000291858	27.22390329	0.218129755	201.3808354	9.15E-05
11	2	0.005188862	0.002277249	1.65E-07	7.03E-07	2.68E-05	0.00E+00	0.000150856	32.4475688	0.324598386	297.5995382	1.38E-04
12	2	0.006257139	0.00248705	2.43E-07	7.40E-07	1.39E-05	0.00E+00	0.000150217	40.36195437	0.334801847	265.134961	1.26E-04
13	2	0.005464179	0.002946578	1.85E-07	9.32E-07	2.17E-05	0.00E+00	0.000209945	40.92515355	0.378584541	316.4956508	1.54E-04
14	2	0.006668775	0.002571678	2.26E-07	9.01E-07	1.76E-05	0.00E+00	0.000213564	34.54079094	0.3162355	249.9301124	0.000128387
15	2	0.003303417	0.0021079	2.03E-07	9.12E-07	2.87E-05	0.00E+00	0.000125981	97.62346579	0.470081594	524.0580508	8.86E-04
16	2	5.28E-03	2.94E-03	1.51E-07	7.35E-07	1.32E-05	0.00E+00	0.000258857	35.80569688	0.227411394	211.2070053	8.78E-05
17	2	0.00424486	0.003057066	1.67E-07	8.41E-07	1.53E-05	0.00E+00	0.000230816	58.27429988	0.291103536	284.8373413	1.85E-04
18	2	0.005756858	0.003496303	1.95E-07	6.34E-07	1.46E-05	0.00E+00	0.000282667	25.520617	0.166757816	146.9897967	4.45E-05
19	2	0.003609512	0.003651634	2.04E-07	9.98E-07	1.16E-05	0.00E+00	0.000188536	118.1996635	0.453056449	421.9668515	5.63E-04
20	2	0.003426611	0.003923796	1.50E-07	9.10E-07	2.63E-05	0.00E+00	0.000273739	59.92047143	0.318996993	312.8870022	2.97E-04
21	2	0.003337743	0.002799565	1.76E-07	9.20E-07	1.86E-05	0.00E+00	0.00028213	80.67537432	0.237628388	277.2440748	5.24E-03
22	2	0.003727388	0.002527606	1.65E-07	6.54E-07	2.74E-05	0.00E+00	0.000215941	41.19826441	0.193440401	224.079318	1.19E-04
23	2	0.005199441	0.00228991	2.35E-07	8.49E-07	1.70E-05	0.00E+00	0.00020265	50.08319532	0.268649245	256.2629625	1.19E-04
