Sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff		400	sample	10975	sec	27.4375
1	1	0.003478701	0.003904251	2.48E-07	6.12E-07	1.99E-05	2.97E-01	0.000272544	51.96673287	0.245101677	181.1925081	0.000770018						
2	1	0.006337081	0.003627182	2.13E-07	6.01E-07	1.76E-05	4.72E-01	0.000280881	18.26601736	0.24001121	146.8377997	2.19E-03						
3	1	0.004515293	0.003263909	1.74E-07	8.29E-07	2.96E-05	3.13E-01	0.000269936	35.11447425	0.410147231	275.6388823	0.000780271						
4	1	0.005729831	0.002716249	2.49E-07	6.34E-07	1.50E-05	2.34E-01	0.000262269	28.23062927	0.275750366	189.4170164	0.000330308						
5	1	0.005125016	0.003601246	2.24E-07	6.57E-07	1.88E-05	3.91E-01	0.000170076	36.28292303	0.444755851	272.4840838	0.000819178						
6	1	0.005349614	0.002291611	2.41E-07	8.56E-07	1.33E-05	5.73E-01	0.000213182	46.57624284	0.325678497	237.9334528	0.000232401						
7	1	0.006132408	0.003371374	1.97E-07	7.04E-07	2.14E-05	3.28E-01	0.000149754	28.5198883	0.64426138	360.2640955	0.000605567						
8	1	0.006643209	0.00377044	2.29E-07	9.70E-07	1.36E-05	4.51E-01	0.000203508	40.6527056	0.661910552	341.7255595	0.000444032						
9	1	0.006652729	0.003327937	1.89E-07	8.96E-07	2.64E-05	2.34E-01	0.000220069	24.92575889	0.703703959	379.6236618	0.000751093						
10	1	0.006689432	0.002107196	2.03E-07	6.48E-07	1.76E-05	2.98E-01	0.000262567	19.33573498	0.255005704	181.4608699	0.002854258						
11	1	0.006537691	0.003425294	1.88E-07	7.00E-07	1.51E-05	2.20E-01	0.000253449	23.40058857	0.426785136	244.034118	0.000497672						
12	1	0.005741154	0.003240556	2.25E-07	9.91E-07	1.77E-05	5.51E-01	0.000152041	50.3847644	0.745219314	422.3541325	0.000586489						
13	1	0.006224384	0.002922242	1.59E-07	8.26E-07	1.37E-05	3.42E-01	0.000206338	33.96487389	0.576153535	343.5418575	0.000406425						
14	1	0.004259134	0.003453483	2.02E-07	9.16E-07	1.41E-05	2.21E-01	0.000235621	70.27432775	0.5731684	375.0160598	0.001654764						
15	1	0.006204689	0.003357137	2.45E-07	6.37E-07	2.82E-05	4.46E-01	0.000201991	19.96359108	0.350681871	208.0613708	0.000214149						
16	1	0.004264285	0.002154975	2.35E-07	6.58E-07	1.74E-05	5.99E-01	0.000224478	40.53785431	0.18708547	168.1675193	0.000125718						
17	1	0.005069377	0.003981022	1.73E-07	7.59E-07	2.39E-05	4.99E-01	0.000112928	41.82056801	0.852816427	468.130726	0.001053325						
18	1	0.004681602	0.003622635	1.88E-07	7.28E-07	2.97E-05	3.65E-01	0.000243636	29.97822	0.36880404	238.9558268	0.000412099						
19	1	0.003394521	0.003469118	2.14E-07	6.30E-07	1.24E-05	2.09E-01	0.000296319	64.77483492	0.247312784	190.3377584	0.003890577						
20	1	0.003215326	0.002281748	2.39E-07	7.86E-07	2.12E-05	2.27E-01	0.000198891	86.02874773	0.373945145	334.123662	0.002386536						
21	1	0.006590586	0.002577131	1.77E-07	8.38E-07	1.95E-05	4.62E-01	0.000173662	29.03592056	0.581483107	348.4161149	0.000392555						
22	1	0.006752802	0.00324085	1.78E-07	6.82E-07	1.88E-05	5.50E-01	0.00010545	27.24858727	0.748045224	394.257957	0.000235266						
23	1	0.005440369	0.002407185	2.02E-07	6.22E-07	2.72E-05	4.19E-01	0.000188587	23.59856175	0.309613431	223.4039707	0.000164568						
24	1	0.005267443	0.00336079	1.87E-07	6.31E-07	1.91E-05	4.95E-01	0.000109569	36.90097058	0.614999659	367.2592433	0.008807973						
25	1	0.003152006	0.003908489	2.24E-07	9.75E-07	2.03E-05	3.04E-01	0.000148181	129.9722319	0.85875885	569.4595484	0.019102325						
26	1	0.006035897	0.003986686	1.86E-07	9.01E-07	1.22E-05	3.72E-01	0.000219409	42.25659397	0.646850351	347.2129264	0.000793316						
27	1	0.005922872	0.002522352	1.59E-07	7.80E-07	2.28E-05	3.81E-01	0.000126408	33.73340222	0.793386613	489.2312842	0.000452187						
28	1	0.005608798	0.003653997	1.81E-07	7.61E-07	2.77E-05	2.97E-01	0.000240116	24.73078549	0.46917249	276.3199129	0.001277086						
29	1	0.006039327	0.002581851	1.78E-07	6.02E-07	1.75E-05	3.22E-01	0.000187387	23.49669969	0.364992933	241.7923817	0.000479109						
30	1	0.004163441	0.002485033	2.44E-07	9.44E-07	1.79E-05	4.26E-01	0.000195884	74.47276258	0.445994809	339.5271153	0.000765842						
31	1	0.004958478	0.002539623	2.49E-07	6.73E-07	2.72E-05	3.33E-01	0.000106527	43.25571636	0.659763329	440.984078	0.000745266						
32	1	5.99E-03	3.29E-03	1.67E-07	9.81E-07	2.09E-05	4.31E-01	0.000150283	42.11879712	1.002531652	547.4870394	0.000600161						
33	1	0.006661906	0.003791193	1.98E-07	7.77E-07	1.62E-05	5.02E-01	0.000111063	35.88965409	0.922628905	452.4200662	0.001020778						
34	1	0.00352779	0.002711844	1.90E-07	9.54E-07	1.04E-05	3.15E-01	0.000268816	105.992586	0.395729131	315.0042539	0.001772205						
35	1	0.004001372	0.002976759	2.23E-07	6.81E-07	1.43E-05	4.37E-01	0.000295267	48.14866134	0.202365946	163.0365075	5.58E-04						
36	1	0.004217614	0.003935406	2.40E-07	6.76E-07	1.00E-05	2.47E-01	0.000242353	61.8634996	0.354105792	232.8237706	0.001231758						
37	1	0.003156092	0.003196389	2.10E-07	8.07E-07	1.02E-05	2.45E-01	0.000237787	116.0216236	0.383238215	300.2856477	0.001701032						
38	1	0.004418277	0.002483874	2.06E-07	8.45E-07	1.60E-05	5.18E-01	0.000259628	49.90646406	0.277080234	218.1757819	0.000268658						
39	1	0.006124369	0.002702197	1.55E-07	8.83E-07	2.99E-05	2.45E-01	0.000132495	31.99094664	1.129005093	652.0763382	0.004983723						
40	1	0.006651502	0.002963314	2.35E-07	9.24E-07	1.37E-05	2.22E-01	0.00014944	45.7578435	0.950548474	513.2629943	0.006079958						
41	1	0.005435846	0.003554465	2.01E-07	6.11E-07	2.98E-05	3.33E-01	0.000200188	21.77570515	0.378379185	232.9478207	0.000281043						
42	1	0.003695533	0.003251273	2.08E-07	9.00E-07	1.31E-05	2.58E-01	0.000171357	104.3294599	0.68046991	470.8492465	0.002698858						
43	1	0.006402431	0.002675739	1.78E-07	6.02E-07	2.60E-05	4.15E-01	0.000199482	16.79306144	0.330314085	212.4130572	1.51E-04						
44	1	0.00648365	0.003445687	2.17E-07	6.72E-07	2.10E-05	4.38E-01	0.000291975	18.28453932	0.265202505	160.1148936	0.000382167						
45	1	0.006234283	0.003969065	2.39E-07	6.86E-07	1.07E-05	2.06E-01	0.000190225	36.3046727	0.569353167	306.4170448	0.001827313						
46	1	0.004894843	0.003902394	1.75E-07	7.55E-07	1.86E-05	3.81E-01	0.000266177	34.42553854	0.373901631	232.4966876	0.000346184						
47	1	0.004522241	0.003851737	2.24E-07	8.95E-07	2.89E-05	3.81E-01	0.00020202	47.15860105	0.56676154	344.0006725	0.002605428						
48	1	0.006396795	0.002780862	2.24E-07	9.91E-07	2.05E-05	2.83E-01	0.000185983	38.65796117	0.769019385	442.4483297	0.000725686						
49	1	0.004293606	0.00222174	1.88E-07	7.32E-07	1.68E-05	4.13E-01	0.000263424	43.47099775	0.240710568	205.2133033	0.000328473						
50	1	0.005084488	0.003548619	1.62E-07	8.50E-07	1.69E-05	4.30E-01	0.000166924	47.53137956	0.700631604	415.0364247	0.00071002						
51	1	0.006455751	0.002397126	2.17E-07	9.61E-07	1.40E-05	3.99E-01	0.000159657	46.96364219	0.719001659	433.1111328	0.000441404						
52	1	0.006559617	0.003002829	1.78E-07	8.14E-07	2.15E-05	2.06E-01	0.000182561	26.91598085	0.737220315	414.5203065	0.000635529						
53	1	0.005811059	0.003013494	1.88E-07	6.26E-07	1.72E-05	2.81E-01	0.00014685	30.14596309	0.547176774	333.7568411	0.000515921						
54	1	0.006255118	0.002786869	1.55E-07	7.50E-07	2.55E-05	5.65E-01	0.00013306	25.22097499	0.637507523	376.5697522	0.000188781						
55	1	0.004276823	0.002659559	1.70E-07	9.07E-07	1.14E-05	2.63E-01	0.000290007	66.19859036	0.400957201	300.9817663	0.00200682						
56	1	0.004145783	0.003374258	1.64E-07	8.05E-07	2.44E-05	3.63E-01	0.000285769	40.56126738	0.353986262	247.564405	0.000885721						
57	1	3.96E-03	3.04E-03	1.72E-07	9.37E-07	2.33E-05	3.88E-01	0.000263247	56.37332187	0.427618255	310.9688985	0.000866838						
58	1	0.0042381	0.003375158	2.49E-07	9.08E-07	2.66E-05	4.38E-01	0.000241217	51.62120872	0.393027537	269.3331971	0.00067122						
59	1	6.01E-03	2.99E-03	2.37E-07	6.27E-07	2.94E-05	4.19E-01	0.000119751	25.9465518	0.577119501	338.884406	0.000352079						
60	1	0.00461188	0.00221408	2.22E-07	8.45E-07	2.57E-05	5.25E-01	0.000213324	41.73351292	0.322278755	255.1725596	0.000573893						
61	1	5.31E-03	3.89E-03	2.37E-07	8.03E-07	2.58E-05	5.32E-01	0.000194606	33.41754697	0.447317257	262.7933576	0.001687947						
62	1	0.004289926	0.003952293	1.78E-07	6.29E-07	2.50E-05	3.31E-01	0.000266238	30.1103318	0.292559443	195.5546671	0.00043785						
63	1	0.006216277	0.003076501	1.96E-07	9.28E-07	2.90E-05	4.83E-01	0.000115255	36.7190159	1.057596105	567.338133	0.000552414						
64	1	0.003939706	0.002797791	1.77E-07	9.33E-07	2.99E-05	4.82E-01	0.00022995	51.47906974	0.417424511	318.8293019	0.000535023						
65	1	0.006729213	0.003375305	2.07E-07	7.52E-07	2.27E-05	3.63E-01	0.000172646	24.47196747	0.599089022	322.474614	0.000316902						
66	1	0.004474799	0.002936798	2.00E-07	9.64E-07	1.41E-05	4.30E-01	0.000167721	78.1461262	0.659434617	441.837898	0.000857522						
67	1	0.00494773	0.002524438	2.08E-07	9.51E-07	1.12E-05	2.34E-01	0.000188175	72.35075372	0.660910685	453.674053	0.001100031						
68	1	0.00525295	0.003078621	2.27E-07	6.93E-07	2.17E-05	5.44E-01	0.000191795	30.77635971	0.331421123	219.9100278	0.000211418						
69	1	0.005643344	0.002707758	1.85E-07	7.01E-07	2.91E-05	2.63E-01	0.00015964	26.58620845	0.570361008	364.3704207	0.000687226						
70	1	4.45E-03	3.48E-03	2.21E-07	8.80E-07	1.01E-05	3.27E-01	0.000174869	85.8785128	0.638659726	403.7197486	0.001219013						
71	1	5.39E-03	2.60E-03	1.63E-07	7.55E-07	2.64E-05	5.45E-01	0.000296235	21.6414315	0.247188728	180.0842288	0.001418666						
72	1	0.003335284	0.002675424	1.74E-07	7.27E-07	2.97E-05	5.00E-01	0.00020965	50.82550687	0.286831122	253.3436474	0.001590051						
73	1	0.006367407	0.002333779	2.40E-07	6.42E-07	2.49E-05	4.87E-01	0.000245874	18.38799821	0.226617953	160.5322559	7.80E-05						
74	1	0.003533727	0.002891578	2.01E-07	8.12E-07	2.72E-05	4.12E-01	0.000235545	57.01460022	0.329558667	265.0309064	0.000611042						
75	1	0.006823583	0.002133354	2.04E-07	7.13E-07	1.96E-05	2.83E-01	0.000236973	20.94481783	0.334578402	225.5211358	0.000160926						
76	1	0.005432644	0.002652352	2.38E-07	6.53E-07	1.20E-05	2.61E-01	0.000291823	32.99733495	0.242972818	175.3537083	0.005193632						
77	1	0.003610152	0.002311105	1.59E-07	7.82E-07	2.34E-05	5.16E-01	0.00026626	47.53359468	0.241496607	221.4038835	0.001037938						
78	1	5.85E-03	2.95E-03	2.21E-07	9.83E-07	2.01E-05	5.16E-01	0.000161011	44.88045338	0.699364203	410.5885756	0.004611302						
79	1	0.003945548	0.002468606	1.96E-07	8.48E-07	2.23E-05	2.50E-01	0.000124525	76.80576962	0.812340783	605.2732408	0.001811413						
80	1	0.004137836	0.003471466	1.91E-07	9.32E-07	2.87E-05	2.21E-01	0.000179813	58.93404134	0.813966093	519.0435262	0.003976505						
81	1	0.005284744	0.00349534	1.82E-07	7.97E-07	1.44E-05	3.93E-01	0.000287855	35.83742631	0.350139754	220.7314762	0.000299201						
82	1	0.005159984	0.002442114	1.60E-07	6.24E-07	2.64E-05	2.78E-01	0.000254296	21.447794	0.277173638	208.4454391	0.000720827						
83	1	0.006580473	0.0033686	2.16E-07	9.96E-07	1.07E-05	3.96E-01	0.000184851	50.17561072	0.778041955	412.1942005	0.000586488						
84	1	0.005334018	0.002166539	2.16E-07	6.21E-07	2.11E-05	3.95E-01	0.000242405	25.19834877	0.221370675	175.5919098	0.002466432						
85	1	0.005470403	0.002427555	2.15E-07	7.52E-07	1.21E-05	3.05E-01	0.000175502	46.97254674	0.471738206	323.0880693	0.000595703						
86	1	0.003965142	0.003245848	2.02E-07	7.65E-07	1.44E-05	0.313575605	0.000271711	58.484637	0.320239298	231.9989587	0.00115291						
87	1	0.005461571	0.003558979	2.45E-07	9.68E-07	1.77E-05	0.518700568	0.000132529	58.92792185	0.847280988	464.7242817	0.000746789						
88	1	0.003455269	0.002317649	1.86E-07	9.39E-07	2.17E-05	0.430031307	0.000217236	79.69895921	0.398422165	342.0368707	0.000738018						
89	1	0.00303991	0.003618755	2.11E-07	7.92E-07	1.54E-05	0.290936594	0.000151619	119.7907604	0.602599717	436.6288258	0.005203018						
90	1	0.003194409	0.002338484	1.76E-07	6.79E-07	2.21E-05	0.483245351	0.000264741	52.49940648	0.188999051	187.9126714	0.000278519						
91	1	0.006437511	0.003562169	1.70E-07	9.97E-07	1.19E-05	0.28607061	0.000230124	42.48581651	0.797857517	425.9163619	0.000676503						
92	1	0.003975492	0.002679376	1.70E-07	8.03E-07	2.90E-05	0.433785936	0.000178921	48.72815124	0.457961222	347.0767674	0.000669175						
93	1	0.005426149	0.003429286	1.90E-07	9.43E-07	2.84E-05	0.314236682	0.000250168	33.24967296	0.569716529	338.501835	0.000684597						
