sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
1	3	0.004630209	0.002439674	1.73E-07	7.75E-07	2.84E-05	3.14E-01	0.000163808	27.03253863	0.136621752	306.0353532	3.32E-04
2	3	0.004455116	0.002998635	2.31E-07	6.94E-07	1.04E-05	3.19E-01	0.000160224	45.94248263	0.123543766	238.680393	5.58E-04
3	3	0.006303712	0.002272791	2.31E-07	9.44E-07	2.11E-05	4.03E-01	0.000103706	33.46858645	0.233642902	500.2335095	4.86E-04
4	3	0.005854581	0.003395496	2.39E-07	8.80E-07	2.87E-05	5.28E-01	0.000102179	28.78311488	0.255341295	394.9514915	0.000630556
5	3	0.003137071	0.003032321	2.15E-07	9.02E-07	1.56E-05	5.56E-01	0.00022061	67.6543164	0.109163543	208.9547859	8.88E-04
6	3	0.005572936	0.003572127	1.99E-07	7.61E-07	2.75E-05	5.31E-01	0.000241637	16.48172177	0.092875294	160.6072659	0.000190006
7	3	0.003042682	0.002191114	2.04E-07	9.42E-07	1.53E-05	4.55E-01	0.000255109	73.23667483	0.088521017	218.0163436	7.35E-04
8	3	0.005900239	0.003789295	2.27E-07	6.83E-07	1.09E-05	4.87E-01	0.000130713	30.50813094	0.154603245	239.8754193	2.84E-04
9	3	0.003514574	0.002441578	1.95E-07	7.86E-07	1.18E-05	2.31E-01	0.000201346	61.41524643	0.115242474	262.4757913	1.33E-03
10	3	0.003666099	0.00349542	1.83E-07	7.22E-07	2.64E-05	5.88E-01	0.00029641	25.50423227	0.069908402	127.7661523	3.21E-04
11	3	0.005306489	0.002466966	1.79E-07	8.70E-07	2.15E-05	5.83E-01	0.00013994	29.09842491	0.149004745	324.6322375	2.84E-04
12	3	0.00434462	0.002299328	1.83E-07	6.45E-07	2.54E-05	4.35E-01	0.000258513	20.23331708	0.056103608	143.5069395	1.05E-04
13	3	0.003316766	0.002385804	2.28E-07	7.41E-07	2.68E-05	4.79E-01	0.000126777	52.02729224	0.126924772	290.0446268	7.89E-04
14	3	0.003761379	0.002793614	1.84E-07	9.69E-07	2.68E-05	5.46E-01	0.000225905	40.88946458	0.121801561	243.8210621	0.000619165
15	3	0.003865158	0.002129798	2.18E-07	8.14E-07	2.03E-05	5.41E-01	0.000151144	46.41606816	0.105637989	267.4379304	4.71E-04
16	3	6.29E-03	2.03E-03	1.97E-07	9.78E-07	1.92E-05	4.14E-01	0.000269994	22.04577459	0.090271612	229.9273409	0.000157523
17	3	0.004736405	0.002048867	2.00E-07	9.51E-07	2.82E-05	2.53E-01	0.000157041	35.77444021	0.171285315	423.280496	1.01E-03
18	3	0.00300053	0.002635921	2.03E-07	9.32E-07	2.35E-05	5.02E-01	0.000282603	55.4346494	0.08856696	189.3459757	7.63E-04
19	3	0.00367405	0.003928032	1.85E-07	8.39E-07	2.46E-05	3.33E-01	0.000274163	36.62428547	0.127268233	195.7638269	6.46E-04
20	3	0.004852171	0.002333773	1.97E-07	7.83E-07	1.26E-05	5.59E-01	0.000227986	31.38147655	0.072813731	177.9862152	1.89E-04
21	3	0.004709712	0.002351692	1.79E-07	6.23E-07	1.12E-05	4.20E-01	0.000105332	39.76361463	0.133576109	310.5688433	2.93E-04
22	3	0.005252203	0.002609191	2.25E-07	8.68E-07	2.88E-05	4.07E-01	0.000197031	24.78166188	0.115848091	245.3576065	3.12E-04
23	3	0.006156813	0.003142336	2.27E-07	9.68E-07	1.42E-05	3.86E-01	0.000221623	29.99597342	0.140776675	251.372977	3.46E-04
24	3	0.0054668	0.002406184	2.18E-07	6.07E-07	1.45E-05	5.07E-01	0.000282893	17.41981345	0.04427379	113.3478205	7.88E-05
25	3	0.005133251	0.00213676	1.70E-07	6.05E-07	2.93E-05	3.78E-01	0.00026644	13.23390132	0.05128225	139.5614195	8.63E-05
26	3	0.006961982	0.003588569	1.99E-07	6.52E-07	1.42E-05	3.30E-01	0.000266222	13.80705962	0.081819368	143.7680128	0.00011353
27	3	0.005955071	0.002319746	2.23E-07	6.21E-07	2.43E-05	5.94E-01	0.000124347	17.51353735	0.091861923	223.1544043	1.49E-04
28	3	0.005372393	0.002539086	1.93E-07	9.72E-07	2.02E-05	4.64E-01	0.00011282	40.58592801	0.243752295	484.9237349	6.08E-04
29	3	0.004796688	0.002294337	2.28E-07	8.13E-07	1.18E-05	5.47E-01	0.000280092	32.89828444	0.059652762	148.3915445	1.84E-04
30	3	0.003225199	0.003280113	2.39E-07	7.39E-07	2.33E-05	3.79E-01	0.000190892	50.11991923	0.11545996	208.8676309	1.01E-03
31	3	0.003068124	0.003722835	2.44E-07	7.92E-07	2.14E-05	3.62E-01	0.000298559	50.59555544	0.090837182	151.1615824	8.76E-04
32	3	0.003879365	0.003732993	2.19E-07	6.69E-07	1.02E-05	2.83E-01	0.000133815	58.87962185	0.176197278	276.8514105	1.38E-03
33	3	0.006606489	0.00341828	1.63E-07	7.70E-07	2.32E-05	4.39E-01	0.000164477	16.61501073	0.158608182	268.0525335	0.000169643
34	3	0.003842589	0.002379236	1.71E-07	8.85E-07	1.51E-05	3.93E-01	0.000154003	59.01663636	0.160836384	361.2906762	7.50E-04
35	3	0.003882695	0.002709328	2.14E-07	9.00E-07	1.98E-05	3.28E-01	0.000223478	46.5666336	0.121377911	249.1736752	8.04E-04
36	3	4.21E-03	2.28E-03	2.34E-07	7.15E-07	2.82E-05	4.46E-01	0.000122642	35.26358045	0.124226697	292.8045108	4.82E-04
37	3	0.004135616	0.003016264	2.04E-07	6.21E-07	1.87E-05	5.67E-01	0.000143746	31.51999639	0.09893346	196.877919	0.000333428
38	3	0.005765812	0.002231851	1.86E-07	7.22E-07	1.60E-05	5.18E-01	0.000212289	20.20734366	0.071419217	181.9826083	1.08E-04
39	3	0.004879795	0.003582341	1.92E-07	8.96E-07	1.72E-05	5.00E-01	0.000289964	28.62137961	0.103171422	173.0950262	0.00031235
40	3	0.00307831	0.003510334	2.41E-07	7.39E-07	1.14E-05	2.38E-01	0.000271018	67.48602793	0.096885226	168.7171655	0.001622228
41	3	0.005198272	0.00383105	2.02E-07	6.21E-07	1.88E-05	3.05E-01	0.000238238	18.8743048	0.091945206	152.7086128	2.70E-04
42	3	0.00658363	0.002919425	1.73E-07	6.78E-07	2.70E-05	4.65E-01	0.000248322	10.96796064	0.073569506	152.9556483	7.58E-05
43	3	0.003428354	0.003672346	1.95E-07	8.60E-07	2.81E-05	4.42E-01	0.000122141	56.69833778	0.249719517	375.8616975	1.64E-03
44	3	0.00306553	0.002182421	2.41E-07	8.19E-07	2.29E-05	4.48E-01	0.000147175	68.3083095	0.117850723	289.959999	9.77E-04
45	3	0.003315929	0.003291502	1.68E-07	8.48E-07	2.94E-05	3.33E-01	0.000233839	41.65871229	0.138243092	243.2706035	9.41E-04
46	3	0.004831548	0.002049899	2.02E-07	9.96E-07	2.45E-05	4.36E-01	0.000179389	36.29785341	0.133653395	334.3176603	3.01E-04
